AC_CLASS;AC_MASS;NUM_ENGS;INCIDENT_MONTH;INCIDENT_YEAR;HEIGHT;SPEED;PHASE_OF_FLT;DAMAGE;BIRDS_STRUCK;SIZE;WARNED
A;1;1;9;2011;0;0;1;N;1;Small;N
A;1;1;5;2013;0;0;1;S;1;Large;N
A;1;1;9;2013;0;0;1;N;1;Small;Y
A;1;1;12;2013;0;0;1;N;1;Small;N
B;1;1;7;2010;0;0;1;N;1;Medium;Y
B;1;1;8;2010;0;0;1;D;2;Large;Unknown
B;1;1;5;2012;0;0;1;N;1;Medium;Unknown
B;1;1;1;2013;0;0;1;N;1;Medium;N
A;2;2;9;2012;0;0;1;N;1;Medium;Unknown
B;2;1;1;2010;0;0;1;N;1;Large;Y
B;2;1;1;2010;0;0;1;N;1;Medium;Y
B;2;1;5;2010;0;0;1;N;1;Small;N
B;2;1;7;2010;0;0;1;N;1;Medium;N
B;2;1;8;2010;0;0;1;N;1;Medium;N
B;2;1;4;2011;0;0;1;N;1;Small;N
B;2;1;2;2012;0;0;1;N;1;Small;N
B;2;2;5;2012;0;0;1;N;1;Unknown;Y
B;2;1;7;2012;0;0;1;N;1;Medium;Y
B;2;1;9;2012;0;0;1;N;1;Small;N
A;3;2;9;2011;0;0;1;N;1;Small;N
A;3;2;9;2012;0;0;1;N;1;Small;Y
A;4;2;6;2010;0;0;1;N;2;Unknown;Unknown
A;4;3;9;2010;0;0;1;N;1;Small;Unknown
A;4;2;2;2012;0;0;1;N;1;Unknown;Unknown
A;4;2;11;2012;0;0;1;N;1;Small;N
A;4;2;1;2010;0;3;1;N;1;Small;Unknown
A;3;2;3;2014;0;5;1;N;2;Small;Unknown
A;4;2;6;2010;0;5;1;N;1;Medium;Unknown
A;5;4;6;2012;0;5;1;N;1;Large;N
B;2;1;6;2010;3;5;1;N;1;Small;N
B;1;1;4;2014;5;5;1;N;1;Small;Y
B;2;1;7;2011;5;5;1;N;1;Medium;Y
A;3;2;11;2010;0;7;1;N;1;Small;Y
A;1;1;6;2010;0;10;1;N;1;Small;Y
A;4;4;8;2010;0;10;1;M;1;Small;N
A;4;2;4;2014;0;10;1;N;1;Medium;Y
A;5;4;8;2012;0;10;1;N;2;Small;N
A;1;1;5;2012;0;15;1;N;1;Medium;Unknown
A;4;2;5;2014;0;15;1;N;1;Large;N
A;1;1;7;2012;0;20;1;N;1;Small;Y
A;1;2;9;2013;0;20;1;N;1;Medium;N
A;4;2;8;2012;0;25;1;N;0;Small;Unknown
A;3;2;2;2011;0;110;1;N;1;Small;Y
A;4;2;6;2010;25;0;2;N;1;Small;Y
A;1;1;11;2011;100;1;2;N;1;Small;Y
B;2;1;6;2010;15;10;2;N;1;Small;Y
B;2;1;5;2013;50;10;2;N;1;Small;N
B;2;2;7;2010;20;15;2;N;1;Small;Y
A;4;3;12;2013;1200;17;2;N;1;Medium;N
A;4;2;2;2013;200;19;2;S;2;Medium;Y
A;4;2;11;2012;5;20;2;N;1;Medium;N
A;1;1;5;2013;15;20;2;N;1;Small;Y
A;3;2;11;2012;100;21;2;N;1;Small;Unknown
A;4;3;11;2011;6000;22;2;N;1;Large;Unknown
